AREA NAME,2000,2005,2010,2015,2020,2025,2030,2035,2040
NEW YORK CITY,"8,008.3","8,213.8","8,175.4","8,315.6","8,469.8","8,684.7","8,954.7","9,228.6","9,351.5"
Bronx,"1,332.7","1,364.6","1,385.4","1,396.8","1,403.5","1,423.3","1,454.9","1,485.1","1,505.1"
Kings,"2,465.3","2,511.4","2,504.7","2,529.6","2,570.2","2,624.0","2,705.4","2,781.3","2,800.9"
New York,"1,537.2","1,606.3","1,585.9","1,620.7","1,654.2","1,699.8","1,760.7","1,824.4","1,848.5"
Queens,"2,229.4","2,256.6","2,230.7","2,287.5","2,350.2","2,430.6","2,508.1","2,593.6","2,643.8"
Richmond,443.7,475.0,468.7,481.0,491.7,507.0,525.6,544.2,553.1
,,,,,,,,,
LONG ISLAND,"2,753.9","2,803.7","2,832.9","2,891.5","2,929.7","3,009.5","3,115.1","3,221.6","3,313.2"
Nassau,"1,334.5","1,331.6","1,339.5","1,353.3","1,362.5","1,397.6","1,444.3","1,487.3","1,525.0"
Suffolk,"1,419.4","1,472.1","1,493.4","1,538.2","1,567.1","1,612.0","1,670.8","1,734.3","1,788.2"
,,,,,,,,,
MID HUDSON,"2,179.2","2,268.7","2,290.9","2,369.5","2,440.2","2,534.7","2,642.4","2,764.9","2,901.1"
Dutchess,280.2,294.5,297.5,306.3,317.2,335.6,355.8,376.1,395.5
Orange,341.4,372.8,372.8,393.3,411.7,429.2,450.0,475.5,505.3
Putnam,95.7,100.5,99.7,104.2,107.2,112.1,117.7,124.2,131.9
Rockland,286.8,294.6,311.7,319.8,324.3,332.0,339.3,352.2,363.6
Sullivan,74.0,76.2,77.5,82.9,86.8,92.0,98.5,105.3,113.2
Ulster,177.7,182.4,182.5,192.2,202.6,213.4,226.1,240.4,257.8
Westchester,923.5,947.7,949.1,970.9,990.4,"1,020.3","1,055.1","1,091.1","1,133.7"
,,,,,,,,,
NEW JERSEY,"6,661.8","6,873.5","6,946.4","7,137.1","7,326.2","7,516.6","7,794.7","8,093.7","8,390.7"
Bergen,884.1,902.3,905.1,918.2,930.1,942.3,962.7,986.8,"1,012.9"
Essex,793.6,789.2,784.0,807.2,820.5,834.0,855.4,872.3,900.5
Hudson,609.0,603.0,634.3,642.0,669.5,697.0,735.1,762.8,803.4
Hunterdon,122.0,130.0,128.3,134.5,137.8,141.1,145.9,154.6,158.8
Mercer,350.8,366.1,366.5,385.0,398.3,411.8,430.8,464.7,479.2
Middlesex,750.2,789.3,809.9,828.9,857.0,885.2,925.2,964.3,"1,005.7"
Monmouth,615.3,634.8,630.4,651.7,664.1,676.6,695.8,703.8,730.6
Morris,470.2,490.1,492.3,495.0,499.1,503.1,511.0,528.8,538.0
Ocean,510.9,558.2,576.6,600.6,630.4,660.3,700.9,753.0,788.0
Passaic,489.0,497.0,501.2,514.2,526.6,539.2,557.7,567.5,591.1
Somerset,297.5,319.8,323.4,333.3,342.9,352.5,366.5,393.7,404.3
Sussex,144.2,152.7,149.3,162.6,169.5,176.4,186.0,197.6,206.3
Union,522.5,530.7,536.5,547.9,560.3,572.9,591.6,604.4,627.7
Warren,102.4,110.3,108.6,116.1,120.2,124.4,130.2,139.3,144.1
,,,,,,,,,
CONNECTICUT,"1,888.8","1,935.0","1,969.2","2,016.5","2,062.5","2,118.9","2,213.6","2,335.9","2,459.6"
Fairfield,882.6,901.1,916.8,944.7,958.3,985.5,"1,026.8","1,080.2","1,137.0"
Litchfield,182.2,189.4,189.9,198.2,209.9,220.8,232.3,247.1,261.7
New Haven,824.0,844.5,862.5,873.6,894.3,912.6,954.5,"1,008.6","1,061.0"
